	DịCH NGHĨA:.
夫咄山寺新明之名寺也創自 梁家之始祖歷李陳為管老。	NGHIỆP NHÀ BỀN VỮNG. BIA PHẬT DI ĐÀ CHÙAĐÓT SƠN. Kìa như! Chùa Đót Sơn là ngôi chùa nổi tiếng ở xứ Tân Minh.
子朗 閑遊後造浮屠廣開寺宇孫散正信與住持長老 里人亥。	Chùa. bắt đầu xây dựng từ cụ Thủy tổ đời nhà Lương, trải qua đời Lý, đời Trần. đến đời con ông Quản lão là các ông Lãng, Nhàn, Du lại dựng tháp mở. chùa, đến đời cháu là các ông Tán, Chính, Tín cùng vị thượng lão trụ trì.
紫陌輦等再興佛事舊跡增辉然彌陀尊佛亦未之見玄孫仙為。	người làng Đót, các ông Hợi, Tử, Mạch, Liễn lại dấy việc thờ Phật. Chùa cũ. càng thêm huy hoàng, nhưng tượng đức Di Đà lại chưa có. Đến đời người.
建興府大安縣丞居官暇日堂構不忘爰與司禮阮文思校尉阮。	cháu huyền tôn' là ông Tiên, làm quan Huyện thừa ở huyện Đại An, phủ. Kiến Hưng. Khi việc quan nhàn tản,. cũng không quên kếtục sự nghiệp ông.
文慮同鄉人梁文粹阮文漫等率諸檀越及住持僧阮文樂料出。	cha. Ông bèn cùng quan Tư lễ Nguyễn Văn Tư, quan Hiệu úy Nguyễn Văn. Lự cùng với người làng là Lương Văn Túy, Nguyễn Văn Man xướng suất về. 1.
	Huyền tôn: Cháu 5 đời.
	VĂN BIA TIÊN LÃNG– HẢI PHÒNG.
	25. những người mộ đạo và sư trụ trì Nguyễn Văn Lạc đem cúng của nhà, mua.
家貲掄材備匠克為佛相金身丈六渾然而成於是萬影沈江如。	gỗ thuê thợ, khắc tô tượng Phật mình vàng sáu thước, công việc hoàn. thành. Trông vào đó đúng là hình ảnh in xuống đáy sông, không sai nửa.
如不異孤光透隙一一皆园而前人之業益彰佛事之傳光顯固。	nốt. Tia sáng xuyên qua khe hở, tròn trĩnh như nhau. Công đức ông cha và. người làng được rõ ràng, đạo Phật truyền bá ngày càng sáng tỏ.
宜堅其岷以示後者其辭云:。	Cho nên. khắc vào bia đá, để chỉ bảo cho thế hệ mai sau. Lời minh rằng:.
佛氏之教。	Giáo lý đức Phật,.
流億斯年。	Lưu truyền ngàn năm.
能明厥義。	Hiểu rõ ý nghĩa,.
性祖及孫。	Từ ông đến cháu.
既成厥像。	Tượng đã tạc xong,.
宜廣其傳。	Lưu truyền rộng khắp.
令名千載。 與石俱存。	Tiếng lành còn mãi,. Bia đá ngàn năm.
檀越梁連阮文班阮近范品阮仁力武文溢阮輦梁文郁裴。	Những bậc đàn việt' công đức như sau: Lương Liên, Nguyễn Văn. Ban, Nguyễn Cận, Phạm Phẩm, Nguyễn Nhân Lực, Vũ Văn Đạt, Nguyễn.
文宣阮廷午阮禮武踏范賢阮維好阮 阮文來阮幹阮德順阮。	Liễn, Lương Văn Úc, Bùi Văn Tuyên, Nguyễn Đình Ngọ, Nguyễn Lễ, Vũ. Đạp, Phạm Hiền, Nguyễn Duy Hiếu, Nguyễn Hỗ, Nguyễn Văn Lai,. Nguyễn Cán, Nguyễn Đức Thuận, Nguyễn Văn Mãi, Nguyễn Cứ, Lương.
